thread resource is all released,current order 1
start work (1,1) Sun Apr 22 19:50:11 2018
start work (1,2) Sun Apr 22 19:50:11 2018
end work (1,1) Sun Apr 22 19:50:12 2018
start work (1,3) Sun Apr 22 19:50:12 2018
end work (1,2) Sun Apr 22 19:50:13 2018
start work (1,4) Sun Apr 22 19:50:13 2018
end work (1,3) Sun Apr 22 19:50:15 2018
start work (1,5) Sun Apr 22 19:50:15 2018
end work (1,4) Sun Apr 22 19:50:17 2018
end work (1,5)thread resource is all released,current order 2 
Sun Apr 22 19:50:20 2018
start work (2,1) Sun Apr 22 19:50:20 2018
start work (2,2) Sun Apr 22 19:50:20 2018
end work (2,1) Sun Apr 22 19:50:21 2018
start work (2,3) Sun Apr 22 19:50:21 2018
end work (2,2) Sun Apr 22 19:50:22 2018
start work (2,4) Sun Apr 22 19:50:22 2018
end work (2,3) Sun Apr 22 19:50:24 2018
start work (2,5) Sun Apr 22 19:50:24 2018
end work (2,4) Sun Apr 22 19:50:26 2018
end work (2,5) Sun Apr 22 19:50:29 2018
